Player,Cavern,Kraken,Yeti,Dragon,Temple,Shrunk,Mobs,Body,Canyon,Excalibur,Icarus,Celts,Platform
MarioMan3215,0:54.650,1:04.800,0:58.600,0:52.450,1:06.149,1:13.300,1:10.299,1:29.249,0:56.549,1:07.551,1:13.998,1:05.900,wiiu
Aerialyn,0:54.700,1:05.300,0:58.900,0:52.851,1:05.552,1:14.101,1:11.100,1:30.851,0:56.200,1:07.799,1:14.301,1:05.100,wiiu
SY_Butterfly.1 ,0:55.151,1:05.850,0:58.800,0:53.199,1:07.700,1:13.500,1:11.699,1:29.752,0:56.951,1:08.802,1:14.955,1:06.050,wiiu
Bunji,0:54.600,1:05.500,0:59.551,0:52.899,1:07.451,1:14.900,1:10.550,1:32.550,0:57.601,1:08.199,1:15.300,1:08.451,wiiu
Commander,0:56.799,1:06.801,0:59.351,0:53.899,1:07.400,1:14.450,1:11.799,1:30.701,0:58.686,1:09.251,1:15.050,1:06.101,wiiu
MarioMan3215 (Xbox),0:55.501,1:07.999,0:58.701,0:53.200,1:07.749,1:16.000,1:11.850,1:32.549,0:57.901,1:07.900,1:14.849,1:07.350,xbox
Pixelcrusher,0:54.899,1:04.552,0:58.500,0:52.599,1:09.249,1:13.951,1:12.350,1:34.950,0:56.850,1:10.689,1:14.996,1:08.451,ps
ash_GL35,0:55.999,1:06.851,0:59.851,0:53.751,1:06.947,1:14.992,1:13.899,1:30.801,0:57.738,1:09.349,1:15.900,1:07.999,wiiu
Supernova,0:56.351,1:07.899,1:00.751,0:53.700,1:08.400,1:15.651,1:14.449,1:32.900,0:58.647,1:08.549,1:14.749,1:07.649,ps
JRunner,0:56.500,1:08.200,1:00.299,0:53.602,1:07.699,1:14.399,1:14.897,1:33.450,0:59.848,1:08.647,1:14.750,1:07.496,ps
Sad_Aurora,0:56.499,1:08.149,1:00.105,0:53.850,1:07.650,1:15.915,1:14.750,1:32.400,0:58.468,1:09.672,1:17.260,1:08.400,wiiu
Tortie789,0:57.451,1:06.548,1:00.903,0:54.584,1:07.551,1:16.251,1:13.129,1:32.870,0:58.950,1:09.802,1:17.851,1:08.000,wiiu
Commander (Xbox),0:57.450,1:08.082,1:00.200,0:54.201,1:08.300,1:15.763,1:13.601,1:32.799,0:59.400,1:10.200,1:16.751,1:07.500,xbox
Ch1lledY3ti,0:56.900,1:08.500,0:59.749,0:53.963,1:08.650,1:16.700,1:11.332,1:34.599,0:59.551,1:09.200,1:17.300,1:08.349,xbox
mightymachine63,0:56.650,1:08.099,1:01.350,0:54.451,1:08.550,1:17.252,1:14.650,1:34.251,0:58.751,1:07.401,1:15.649,1:08.949,xbox
JimmyGL,0:56.048,1:07.901,1:00.951,0:53.800,1:08.957,1:15.616,1:15.501,1:33.649,0:58.901,1:09.797,1:16.297,1:08.801,ps
Ch1lledY3ti (Xbox),0:56.950,1:08.500,0:59.749,0:54.150,1:09.201,1:16.700,1:11.332,1:35.199,0:59.750,1:09.200,1:17.300,1:08.350,xbox
SilvyGL,0:56.651,1:07.000,1:01.898,0:53.500,1:08.801,1:17.900,1:15.400,1:35.150,0:58.948,1:09.148,1:15.149,1:07.149,ps
Bunji (Xbox),0:56.701,1:08.401,0:59.551,0:53.399,1:08.651,1:17.851,1:15.050,1:33.950,0:59.300,1:08.199,1:16.850,1:08.950,xbox
Gliding jp.Mooney,0:56.251,1:09.248,1:00.248,0:54.150,1:07.552,1:17.149,1:14.349,1:33.001,0:58.201,1:10.452,1:17.401,1:09.699,wiiu
GlideMaster,0:56.900,1:08.451,1:00.899,0:54.900,1:08.999,1:16.549,1:14.749,1:32.849,0:59.000,1:10.049,1:16.751,1:08.299,wiiu
ObvzYes,0:55.563,1:09.451,1:00.450,0:54.849,1:10.200,1:16.599,1:15.402,1:31.401,0:59.801,1:11.149,1:16.851,1:09.349,xbox
Q_Glide,0:57.651,1:08.652,1:00.299,0:54.651,1:08.650,1:17.398,1:16.251,1:34.102,0:59.899,1:09.900,1:17.249,1:09.450,ps
syuzou789,0:56.748,1:09.000,1:00.948,0:55.099,1:10.499,1:16.853,1:15.800,1:33.851,0:58.700,1:10.450,1:18.149,1:09.749,wiiu
AthYodai523GL,0:56.750,1:08.551,1:02.148,0:54.700,1:10.151,1:18.500,1:15.699,1:35.800,0:59.850,1:09.851,1:16.855,1:09.249,ps
Hfamily8840,0:56.923,1:09.151,1:03.000,0:54.498,1:10.348,1:17.649,1:15.949,1:36.400,0:58.349,1:09.901,1:17.718,1:09.399,wiiu
HiYuChiYu_GL ,0:57.349,1:08.851,1:02.300,0:54.801,1:10.349,1:18.151,1:15.949,1:35.850,0:59.450,1:09.849,1:16.852,1:09.799,ps
micurochan,0:56.701,1:09.852,1:02.500,0:54.948,1:09.951,1:19.050,1:15.801,1:35.800,0:59.498,1:11.349,1:17.252,1:09.151,wiiu
Luchista,0:57.200,1:09.252,1:01.550,0:55.299,1:09.734,1:19.643,1:18.343,1:33.200,1:00.308,1:10.950,1:17.300,1:09.300,wiiu
Ch1lledY3ti (PS4),0:58.096,1:10.200,1:01.330,0:55.001,1:10.400,1:18.990,1:12.795,1:36.554,1:01.246,1:10.149,1:18.007,1:09.617,ps
Silo_,0:57.451,1:09.900,1:02.049,0:53.899,1:10.449,1:19.401,1:17.299,1:35.451,0:59.601,1:10.449,1:17.700,1:10.351,wiiu
Tommay-_- ,0:57.498,1:09.501,1:02.750,0:54.700,1:08.651,1:18.851,1:16.050,1:38.100,0:59.650,1:11.250,1:17.939,1:09.651,ps
DaWazzaBeast,0:57.950,1:09.690,1:04.999,0:54.901,1:09.800,1:18.900,1:15.951,1:35.800,1:00.350,1:10.750,1:15.750,1:10.351,xbox
CyanCats,0:56.602,1:10.751,1:01.099,0:54.201,1:10.050,1:20.100,1:17.051,1:35.586,0:59.650,1:12.299,1:18.203,1:09.699,wiiu
Pres1dent_GL,0:57.449,1:08.051,1:03.846,0:53.953,1:10.499,1:20.150,1:15.950,1:37.898,0:59.449,1:09.702,1:17.499,1:10.896,ps
Nefer,0:57.151,1:09.052,1:03.751,0:54.800,1:10.501,1:20.894,1:16.501,1:37.211,0:59.250,1:10.801,1:19.200,1:10.822,wiiu
grahamplayer,0:57.951,1:08.751,1:04.151,0:55.250,1:10.199,1:19.753,1:17.399,1:36.600,1:00.500,1:11.600,1:17.252,1:10.801,wiiu
LeoMeowCat*,0:57.882,1:09.848,1:04.599,0:54.899,1:10.999,1:19.650,1:17.049,1:36.251,0:59.850,1:11.603,1:17.600,1:10.466,wiiu
MiloTv24,0:56.450,1:09.253,1:03.999,0:54.499,1:11.198,1:21.550,1:17.600,1:38.799,0:59.049,1:10.499,1:17.850,1:10.100,ps
Tortie789 (PS3),0:57.907,1:08.054,1:02.303,0:54.817,1:16.800,1:17.532,1:15.105,1:33.399,0:59.753,1:10.935,1:20.112,1:14.934,ps
Maspec*,0:57.296,1:10.152,1:01.898,0:54.751,1:09.025,1:20.801,1:17.573,1:37.071,1:00.168,1:12.399,1:20.928,1:10.350,wiiu
Lettucee*,0:57.998,1:10.627,1:02.897,0:55.802,1:11.277,1:20.540,1:17.699,1:35.621,1:00.632,1:13.079,1:18.357,1:10.501,wiiu
PointZero,0:57.051,1:09.848,1:04.501,0:54.952,1:09.649,1:20.549,1:17.151,1:39.252,1:00.601,1:11.049,1:20.340,1:10.601,wiiu
AmeliaGL,0:58.550,1:10.802,1:02.797,0:54.650,1:11.752,1:20.400,1:18.899,1:37.100,0:59.751,1:12.101,1:18.800,1:10.800,ps
Mizu_BlueMash,0:57.850,1:09.999,1:05.299,0:55.401,1:11.750,1:21.049,1:17.651,1:37.479,1:00.699,1:11.500,1:19.403,1:10.101,wiiu
Silo_(Xbox),0:58.950,1:09.900,1:05.350,0:55.299,1:11.800,1:21.499,1:17.299,1:38.801,1:01.549,1:09.300,1:17.700,1:11.451,xbox
Fir,0:58.950,1:10.400,1:06.950,0:56.100,1:11.350,1:20.800,1:17.550,1:38.950,0:59.900,1:09.850,1:20.750,1:12.600,ps
hi10na24ta*,0:58.215,1:09.384,1:04.903,0:54.751,1:12.649,1:20.901,1:18.300,1:38.949,1:02.050,1:12.451,1:19.738,1:12.248,wiiu
Christian6247,0:58.161,1:10.352,1:07.002,0:56.122,1:11.236,1:20.001,1:16.998,1:37.766,1:02.000,1:12.769,1:18.899,1:13.675,ps
kamimura0224,0:57.901,1:11.498,1:04.601,0:56.152,1:11.348,1:21.465,1:17.400,1:38.851,1:01.851,1:12.399,1:21.001,1:11.299,wiiu
